setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,558,80.436986
0,0,300000,100%,raw-br-immed-retired,"5,434,738,344",80.436986
0,0,300000,100%,raw-br-immed-spec,"5,434,738,344",80.436986
0,0,300000,100%,raw-br-indirect-spec,"593,700,048",80.436986
0,0,300000,100%,raw-br-mis-pred,"127,245,517",80.436986
0,0,300000,100%,raw-br-mis-pred-retired,"127,292,003",80.436986
0,0,300000,100%,raw-br-pred,"6,616,862,466",80.482346
0,0,300000,100%,raw-br-retired,"6,624,032,604",80.482346
0,0,300000,100%,raw-br-return-retired,"595,368,297",80.482346
0,0,300000,100%,raw-br-return-spec,"595,368,297",80.482346
0,0,300000,100%,raw-bus-access,"65,742,225",80.482346
0,0,300000,100%,raw-bus-access-normal,0,80.482346
0,0,300000,100%,raw-bus-access-not-shared,0,80.326030
0,0,300000,100%,raw-bus-access-periph,0,80.326030
0,0,300000,100%,raw-bus-access-rd,"26,352,983",80.326030
0,0,300000,100%,raw-bus-access-shared,0,80.326030
0,0,300000,100%,raw-bus-access-wr,"35,237,904",80.326030
0,0,300000,100%,raw-bus-cycles,"24,001,318,185",80.326030
0,0,300000,100%,raw-cid-write-retired,0,80.307076
0,0,300000,100%,raw-cnt-cycles,0,80.307076
0,0,300000,100%,raw-cpu-cycles,"23,996,173,448",80.307076
0,0,300000,100%,raw-crypto-spec,0,80.307076
0,0,300000,100%,raw-dmb-spec,0,80.307076
0,0,300000,100%,raw-dp-spec,"30,033,213,224",80.380024
0,0,300000,100%,raw-dsb-spec,0,80.380024
0,0,300000,100%,raw-dtlb-walk,279,80.380024
0,0,300000,100%,raw-exc-dabort,0,80.380024
0,0,300000,100%,raw-exc-fiq,13,80.380024
0,0,300000,100%,raw-exc-hvc,0,80.380024
0,0,300000,100%,raw-exc-irq,"32,919",80.347059
0,0,300000,100%,raw-exc-pabort,0,80.347059
0,0,300000,100%,raw-exc-return,"32,962",80.347059
0,0,300000,100%,raw-exc-smc,0,80.347059
0,0,300000,100%,raw-exc-svc,0,80.347059
0,0,300000,100%,raw-exc-taken,"32,975",80.347059
0,0,300000,100%,raw-exc-trap-dabort,0,80.410073
0,0,300000,100%,raw-exc-trap-fiq,0,80.410073
0,0,300000,100%,raw-exc-trap-irq,0,80.410073
0,0,300000,100%,raw-exc-trap-other,0,80.410073
0,0,300000,100%,raw-exc-trap-pabort,0,80.410073
0,0,300000,100%,raw-exc-undef,0,80.410073
0,0,300000,100%,raw-inst-retired,"38,258,129,833",80.364130
0,0,300000,100%,raw-inst-spec,"38,871,729,807",80.364130
0,0,300000,100%,raw-isb-spec,0,80.364130
0,0,300000,100%,raw-itlb-walk,161,80.364130
0,0,300000,100%,raw-l1d-cache,"2,124,081,582",80.364130
0,0,300000,100%,raw-l1d-cache-allocate,0,80.364130
0,0,300000,100%,raw-l1d-cache-inval,0,80.417831
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,80.417831
0,0,300000,100%,raw-l1d-cache-rd,"2,112,540,648",80.417831
0,0,300000,100%,raw-l1d-cache-refill,"6,076,124",80.417831
0,0,300000,100%,raw-l1d-cache-refill-inner,"6,095,523",80.417831
0,0,300000,100%,raw-l1d-cache-refill-outer,"12,732",80.417831
0,0,300000,100%,raw-l1d-cache-refill-rd,"6,323,825",80.604819
0,0,300000,100%,raw-l1d-cache-refill-wr,"489,958",80.604819
0,0,300000,100%,raw-l1d-cache-wb,"7,318,356",80.604819
0,0,300000,100%,raw-l1d-cache-wb-clean,0,80.604819
0,0,300000,100%,raw-l1d-cache-wb-victim,0,80.604819
0,0,300000,100%,raw-l1d-cache-wr,"14,320,645",80.604819
0,0,300000,100%,raw-l1d-tlb,"2,122,812,008",80.345263
0,0,300000,100%,raw-l1d-tlb-rd,0,80.345263
0,0,300000,100%,raw-l1d-tlb-refill,"7,645,744",80.345263
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,80.345263
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,80.345263
0,0,300000,100%,raw-l1d-tlb-wr,0,80.345263
0,0,300000,100%,raw-l1i-cache,"22,598,499,086",80.419664
0,0,300000,100%,raw-l1i-cache-lmiss,0,80.419664
0,0,300000,100%,raw-l1i-cache-refill,"13,847,600",80.419664
0,0,300000,100%,raw-l1i-tlb,"22,808,650,734",80.419664
0,0,300000,100%,raw-l1i-tlb-refill,"385,565",80.419664
0,0,300000,100%,raw-l2d-cache,"33,662,498",80.419664
0,0,300000,100%,raw-l2d-cache-allocate,"6,215,090",80.606538
0,0,300000,100%,raw-l2d-cache-inval,0,80.606538
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,80.606538
0,0,300000,100%,raw-l2d-cache-rd,"32,163,372",80.606538
0,0,300000,100%,raw-l2d-cache-refill,"7,978,463",80.606538
0,0,300000,100%,raw-l2d-cache-refill-rd,"7,978,418",80.606538
0,0,300000,100%,raw-l2d-cache-refill-wr,45,80.457726
0,0,300000,100%,raw-l2d-cache-wb,"7,664,490",80.457726
0,0,300000,100%,raw-l2d-cache-wb-clean,0,80.457726
0,0,300000,100%,raw-l2d-cache-wb-victim,0,80.457726
0,0,300000,100%,raw-l2d-cache-wr,"5,461,336",80.457726
0,0,300000,100%,raw-l2d-tlb,"8,905,857",80.457726
0,0,300000,100%,raw-l2d-tlb-rd,0,80.383764
0,0,300000,100%,raw-l2d-tlb-refill,457,80.383764
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,80.383764
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,80.383764
0,0,300000,100%,raw-l2d-tlb-wr,0,80.383764
0,0,300000,100%,raw-l2i-cache,0,80.383764
0,0,300000,100%,raw-l2i-cache-lmiss,0,80.430077
0,0,300000,100%,raw-l2i-cache-refill,0,80.430077
0,0,300000,100%,raw-l2i-tlb,0,80.430077
0,0,300000,100%,raw-l2i-tlb-refill,0,80.430077
0,0,300000,100%,raw-l3d-cache,"12,275,580",80.430077
0,0,300000,100%,raw-l3d-cache-allocate,"5,045,627",80.430077
0,0,300000,100%,raw-l3d-cache-inval,0,80.465067
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,80.465067
0,0,300000,100%,raw-l3d-cache-rd,"7,296,136",80.465067
0,0,300000,100%,raw-l3d-cache-refill,"195,833",80.465067
0,0,300000,100%,raw-l3d-cache-refill-rd,"195,833",80.465067
0,0,300000,100%,raw-l3d-cache-refill-wr,0,80.465067
0,0,300000,100%,raw-l3d-cache-wb,0,80.293916
0,0,300000,100%,raw-l3d-cache-wb-clean,0,80.293916
0,0,300000,100%,raw-l3d-cache-wb-victim,0,80.293916
0,0,300000,100%,raw-l3d-cache-wr,0,80.293916
0,0,300000,100%,raw-ld-retired,"2,095,462,149",80.293916
0,0,300000,100%,raw-ld-spec,"2,100,536,640",80.293916
0,0,300000,100%,raw-ldrex-spec,0,80.362921
0,0,300000,100%,raw-ldst-spec,"2,135,242,705",80.362921
0,0,300000,100%,raw-ll-cache,0,80.362921
0,0,300000,100%,raw-ll-cache-miss,0,80.362921
0,0,300000,100%,raw-ll-cache-miss-rd,"79,273",80.362921
0,0,300000,100%,raw-ll-cache-rd,"6,756,413",80.362921
0,0,300000,100%,raw-mem-access,"2,142,738,703",80.411557
0,0,300000,100%,raw-mem-access-rd,"2,111,046,473",80.411557
0,0,300000,100%,raw-mem-access-wr,"31,692,230",80.411557
0,0,300000,100%,raw-memory-error,0,80.411557
0,0,300000,100%,raw-op-retired,0,80.411557
0,0,300000,100%,raw-op-spec,0,80.411557
0,0,300000,100%,raw-pc-write-retired,"6,091,094,493",80.345403
0,0,300000,100%,raw-pc-write-spec,"6,704,101,892",80.345403
0,0,300000,100%,raw-rc-ld-spec,0,80.345403
0,0,300000,100%,raw-rc-st-spec,0,80.345403
0,0,300000,100%,raw-remote-access,0,80.345403
0,0,300000,100%,raw-remote-access-rd,0,80.345403
0,0,300000,100%,raw-sample-collision,0,80.357933
0,0,300000,100%,raw-sample-feed,0,80.357933
0,0,300000,100%,raw-sample-filtrate,0,80.357933
0,0,300000,100%,raw-sample-pop,0,80.357933
0,0,300000,100%,raw-st-retired,"30,636,084",80.357933
0,0,300000,100%,raw-st-spec,"33,276,604",80.357933
0,0,300000,100%,raw-stall,0,80.467027
0,0,300000,100%,raw-stall-backend,"860,367,372",80.467027
0,0,300000,100%,raw-stall-backend-mem,0,80.467027
0,0,300000,100%,raw-stall-frontend,"799,130,390",80.467027
0,0,300000,100%,raw-stall-slot,0,80.467027
0,0,300000,100%,raw-stall-slot-backend,0,80.467027
0,0,300000,100%,raw-stall-slot-frontend,0,80.357498
0,0,300000,100%,raw-strex-fail-spec,0,80.357498
0,0,300000,100%,raw-strex-pass-spec,0,80.357498
0,0,300000,100%,raw-strex-spec,0,80.357498
0,0,300000,100%,raw-sve-inst-retired,0,80.357498
0,0,300000,100%,raw-sve-inst-spec,0,80.357498
0,0,300000,100%,raw-sw-incr,0,80.370041
0,0,300000,100%,raw-ttbr-write-retired,0,80.370041
0,0,300000,100%,raw-unaligned-ld-spec,0,80.370041
0,0,300000,100%,raw-unaligned-ldst-retired,"22,958",80.370041
0,0,300000,100%,raw-unaligned-ldst-spec,0,80.370041
0,0,300000,100%,raw-unaligned-st-spec,0,80.370041
0,0,300000,100%,raw-vfp-spec,889,80.366373
0,0,1248000,100%,raw-ase-spec,558,18.946535
0,0,1248000,100%,raw-br-immed-retired,"5,398,973,235",18.946535
0,0,1248000,100%,raw-br-immed-spec,"5,398,973,235",18.946535
0,0,1248000,100%,raw-br-indirect-spec,"592,539,550",18.946535
0,0,1248000,100%,raw-br-mis-pred,"125,284,266",18.946535
0,0,1248000,100%,raw-br-mis-pred-retired,"125,295,120",18.946535
0,0,1248000,100%,raw-br-pred,"6,582,674,045",18.935108
0,0,1248000,100%,raw-br-retired,"6,584,324,237",18.935108
0,0,1248000,100%,raw-br-return-retired,"592,930,822",18.935108
0,0,1248000,100%,raw-br-return-spec,"592,930,822",18.935108
0,0,1248000,100%,raw-bus-access,"14,657,870",18.935108
0,0,1248000,100%,raw-bus-access-normal,0,18.935108
0,0,1248000,100%,raw-bus-access-not-shared,0,18.936207
0,0,1248000,100%,raw-bus-access-periph,0,18.936207
0,0,1248000,100%,raw-bus-access-rd,"6,362,900",18.936207
0,0,1248000,100%,raw-bus-access-shared,0,18.936207
0,0,1248000,100%,raw-bus-access-wr,"8,650,729",18.936207
0,0,1248000,100%,raw-bus-cycles,"23,607,276,556",18.936207
0,0,1248000,100%,raw-cid-write-retired,0,18.928772
0,0,1248000,100%,raw-cnt-cycles,0,18.928772
0,0,1248000,100%,raw-cpu-cycles,"23,599,554,150",18.928772
0,0,1248000,100%,raw-crypto-spec,0,18.928772
0,0,1248000,100%,raw-dmb-spec,0,18.928772
0,0,1248000,100%,raw-dp-spec,"29,915,589,253",18.934537
0,0,1248000,100%,raw-dsb-spec,0,18.934537
0,0,1248000,100%,raw-dtlb-walk,125,18.934537
0,0,1248000,100%,raw-exc-dabort,0,18.934537
0,0,1248000,100%,raw-exc-fiq,3,18.934537
0,0,1248000,100%,raw-exc-hvc,0,18.934537
0,0,1248000,100%,raw-exc-irq,"7,807",18.934777
0,0,1248000,100%,raw-exc-pabort,0,18.934777
0,0,1248000,100%,raw-exc-return,"7,850",18.934777
0,0,1248000,100%,raw-exc-smc,0,18.934777
0,0,1248000,100%,raw-exc-svc,0,18.934777
0,0,1248000,100%,raw-exc-taken,"7,853",18.934777
0,0,1248000,100%,raw-exc-trap-dabort,0,18.929583
0,0,1248000,100%,raw-exc-trap-fiq,0,18.929583
0,0,1248000,100%,raw-exc-trap-irq,0,18.929583
0,0,1248000,100%,raw-exc-trap-other,0,18.929583
0,0,1248000,100%,raw-exc-trap-pabort,0,18.929583
0,0,1248000,100%,raw-exc-undef,0,18.929583
0,0,1248000,100%,raw-inst-retired,"38,035,175,390",18.932743
0,0,1248000,100%,raw-inst-spec,"38,636,993,457",18.932743
0,0,1248000,100%,raw-isb-spec,0,18.932743
0,0,1248000,100%,raw-itlb-walk,67,18.932743
0,0,1248000,100%,raw-l1d-cache,"2,052,169,785",18.932743
0,0,1248000,100%,raw-l1d-cache-allocate,0,18.932743
0,0,1248000,100%,raw-l1d-cache-inval,0,18.940847
0,0,1248000,100%,raw-l1d-cache-lmiss-rd,0,18.940847
0,0,1248000,100%,raw-l1d-cache-rd,"2,049,309,534",18.940847
0,0,1248000,100%,raw-l1d-cache-refill,"1,498,180",18.940847
0,0,1248000,100%,raw-l1d-cache-refill-inner,"1,505,061",18.940847
0,0,1248000,100%,raw-l1d-cache-refill-outer,"3,599",18.940847
0,0,1248000,100%,raw-l1d-cache-refill-rd,"1,397,781",18.948807
0,0,1248000,100%,raw-l1d-cache-refill-wr,"111,758",18.948807
0,0,1248000,100%,raw-l1d-cache-wb,"1,627,560",18.948807
0,0,1248000,100%,raw-l1d-cache-wb-clean,0,18.948807
0,0,1248000,100%,raw-l1d-cache-wb-victim,0,18.948807
0,0,1248000,100%,raw-l1d-cache-wr,"3,070,466",18.948807
0,0,1248000,100%,raw-l1d-tlb,"2,052,526,604",18.929867
0,0,1248000,100%,raw-l1d-tlb-rd,0,18.929867
0,0,1248000,100%,raw-l1d-tlb-refill,"1,836,689",18.929867
0,0,1248000,100%,raw-l1d-tlb-refill-rd,0,18.929867
0,0,1248000,100%,raw-l1d-tlb-refill-wr,0,18.929867
0,0,1248000,100%,raw-l1d-tlb-wr,0,18.929867
0,0,1248000,100%,raw-l1i-cache,"22,414,390,504",18.942970
0,0,1248000,100%,raw-l1i-cache-lmiss,0,18.942970
0,0,1248000,100%,raw-l1i-cache-refill,"3,177,562",18.942970
0,0,1248000,100%,raw-l1i-tlb,"22,471,285,878",18.942970
0,0,1248000,100%,raw-l1i-tlb-refill,"87,766",18.942970
0,0,1248000,100%,raw-l2d-cache,"7,770,030",18.942970
0,0,1248000,100%,raw-l2d-cache-allocate,"1,165,083",18.936682
