setup core,runtime core,frequency,coverage,event,count,time
0,0,300000,100%,raw-ase-spec,575,80.161064
0,0,300000,100%,raw-br-immed-retired,"5,432,451,661",80.161064
0,0,300000,100%,raw-br-immed-spec,"5,432,451,661",80.161064
0,0,300000,100%,raw-br-indirect-spec,"593,299,794",80.161064
0,0,300000,100%,raw-br-mis-pred,"130,672,940",80.161064
0,0,300000,100%,raw-br-mis-pred-retired,"130,708,598",80.161064
0,0,300000,100%,raw-br-pred,"6,613,791,694",80.136311
0,0,300000,100%,raw-br-retired,"6,620,390,480",80.136311
0,0,300000,100%,raw-br-return-retired,"595,097,139",80.136311
0,0,300000,100%,raw-br-return-spec,"595,097,139",80.136311
0,0,300000,100%,raw-bus-access,"48,892,313",80.136311
0,0,300000,100%,raw-bus-access-normal,0,80.136311
0,0,300000,100%,raw-bus-access-not-shared,0,80.155158
0,0,300000,100%,raw-bus-access-periph,0,80.155158
0,0,300000,100%,raw-bus-access-rd,"21,175,952",80.155158
0,0,300000,100%,raw-bus-access-shared,0,80.155158
0,0,300000,100%,raw-bus-access-wr,"28,353,454",80.155158
0,0,300000,100%,raw-bus-cycles,"23,989,987,855",80.155158
0,0,300000,100%,raw-cid-write-retired,0,80.100227
0,0,300000,100%,raw-cnt-cycles,0,80.100227
0,0,300000,100%,raw-cpu-cycles,"23,974,861,513",80.100227
0,0,300000,100%,raw-crypto-spec,0,80.100227
0,0,300000,100%,raw-dmb-spec,0,80.100227
0,0,300000,100%,raw-dp-spec,"30,044,479,586",80.135899
0,0,300000,100%,raw-dsb-spec,0,80.135899
0,0,300000,100%,raw-dtlb-walk,128,80.135899
0,0,300000,100%,raw-exc-dabort,0,80.135899
0,0,300000,100%,raw-exc-fiq,13,80.135899
0,0,300000,100%,raw-exc-hvc,0,80.135899
0,0,300000,100%,raw-exc-irq,"32,147",80.131690
0,0,300000,100%,raw-exc-pabort,0,80.131690
0,0,300000,100%,raw-exc-return,"32,190",80.131690
0,0,300000,100%,raw-exc-smc,0,80.131690
0,0,300000,100%,raw-exc-svc,0,80.131690
0,0,300000,100%,raw-exc-taken,"32,203",80.131690
0,0,300000,100%,raw-exc-trap-dabort,0,80.173553
0,0,300000,100%,raw-exc-trap-fiq,0,80.173553
0,0,300000,100%,raw-exc-trap-irq,0,80.173553
0,0,300000,100%,raw-exc-trap-other,0,80.173553
0,0,300000,100%,raw-exc-trap-pabort,0,80.173553
0,0,300000,100%,raw-exc-undef,0,80.173553
0,0,300000,100%,raw-inst-retired,"38,243,785,411",80.153408
0,0,300000,100%,raw-inst-spec,"38,880,597,170",80.153408
0,0,300000,100%,raw-isb-spec,0,80.153408
0,0,300000,100%,raw-itlb-walk,58,80.153408
0,0,300000,100%,raw-l1d-cache,"2,118,736,358",80.153408
0,0,300000,100%,raw-l1d-cache-allocate,0,80.153408
0,0,300000,100%,raw-l1d-cache-inval,0,80.126949
0,0,300000,100%,raw-l1d-cache-lmiss-rd,0,80.126949
0,0,300000,100%,raw-l1d-cache-rd,"2,105,398,793",80.126949
0,0,300000,100%,raw-l1d-cache-refill,"4,900,955",80.126949
0,0,300000,100%,raw-l1d-cache-refill-inner,"4,908,076",80.126949
0,0,300000,100%,raw-l1d-cache-refill-outer,"7,986",80.126949
0,0,300000,100%,raw-l1d-cache-refill-rd,"4,590,316",80.135725
0,0,300000,100%,raw-l1d-cache-refill-wr,"378,220",80.135725
0,0,300000,100%,raw-l1d-cache-wb,"5,375,135",80.135725
0,0,300000,100%,raw-l1d-cache-wb-clean,0,80.135725
0,0,300000,100%,raw-l1d-cache-wb-victim,0,80.135725
0,0,300000,100%,raw-l1d-cache-wr,"12,667,176",80.135725
0,0,300000,100%,raw-l1d-tlb,"2,118,275,140",80.122175
0,0,300000,100%,raw-l1d-tlb-rd,0,80.122175
0,0,300000,100%,raw-l1d-tlb-refill,"7,381,175",80.122175
0,0,300000,100%,raw-l1d-tlb-refill-rd,0,80.122175
0,0,300000,100%,raw-l1d-tlb-refill-wr,0,80.122175
0,0,300000,100%,raw-l1d-tlb-wr,0,80.122175
0,0,300000,100%,raw-l1i-cache,"22,596,197,286",80.177619
0,0,300000,100%,raw-l1i-cache-lmiss,0,80.177619
0,0,300000,100%,raw-l1i-cache-refill,"12,688,001",80.177619
0,0,300000,100%,raw-l1i-tlb,"22,787,446,636",80.177619
0,0,300000,100%,raw-l1i-tlb-refill,"309,378",80.177619
0,0,300000,100%,raw-l2d-cache,"29,289,975",80.177619
0,0,300000,100%,raw-l2d-cache-allocate,"4,388,752",80.129900
0,0,300000,100%,raw-l2d-cache-inval,0,80.129900
0,0,300000,100%,raw-l2d-cache-lmiss-rd,0,80.129900
0,0,300000,100%,raw-l2d-cache-rd,"24,629,238",80.129900
0,0,300000,100%,raw-l2d-cache-refill,"5,294,030",80.129900
0,0,300000,100%,raw-l2d-cache-refill-rd,"5,293,987",80.129900
0,0,300000,100%,raw-l2d-cache-refill-wr,41,80.171414
0,0,300000,100%,raw-l2d-cache-wb,"5,456,590",80.171414
0,0,300000,100%,raw-l2d-cache-wb-clean,0,80.171414
0,0,300000,100%,raw-l2d-cache-wb-victim,0,80.171414
0,0,300000,100%,raw-l2d-cache-wr,"4,350,783",80.171414
0,0,300000,100%,raw-l2d-tlb,"8,316,333",80.171414
0,0,300000,100%,raw-l2d-tlb-rd,0,80.107670
0,0,300000,100%,raw-l2d-tlb-refill,200,80.107670
0,0,300000,100%,raw-l2d-tlb-refill-rd,0,80.107670
0,0,300000,100%,raw-l2d-tlb-refill-wr,0,80.107670
0,0,300000,100%,raw-l2d-tlb-wr,0,80.107670
0,0,300000,100%,raw-l2i-cache,0,80.107670
0,0,300000,100%,raw-l2i-cache-lmiss,0,80.133094
0,0,300000,100%,raw-l2i-cache-refill,0,80.133094
0,0,300000,100%,raw-l2i-tlb,0,80.133094
0,0,300000,100%,raw-l2i-tlb-refill,0,80.133094
0,0,300000,100%,raw-l3d-cache,"8,985,895",80.133094
0,0,300000,100%,raw-l3d-cache-allocate,"3,480,460",80.133094
0,0,300000,100%,raw-l3d-cache-inval,0,80.084570
0,0,300000,100%,raw-l3d-cache-lmiss-rd,0,80.084570
0,0,300000,100%,raw-l3d-cache-rd,"5,109,362",80.084570
0,0,300000,100%,raw-l3d-cache-refill,"29,583",80.084570
0,0,300000,100%,raw-l3d-cache-refill-rd,"29,583",80.084570
0,0,300000,100%,raw-l3d-cache-refill-wr,0,80.084570
0,0,300000,100%,raw-l3d-cache-wb,0,80.093205
0,0,300000,100%,raw-l3d-cache-wb-clean,0,80.093205
0,0,300000,100%,raw-l3d-cache-wb-victim,0,80.093205
0,0,300000,100%,raw-l3d-cache-wr,0,80.093205
0,0,300000,100%,raw-ld-retired,"2,091,763,403",80.093205
0,0,300000,100%,raw-ld-spec,"2,096,719,957",80.093205
0,0,300000,100%,raw-ldrex-spec,0,80.228653
0,0,300000,100%,raw-ldst-spec,"2,134,524,764",80.228653
0,0,300000,100%,raw-ll-cache,0,80.228653
0,0,300000,100%,raw-ll-cache-miss,0,80.228653
0,0,300000,100%,raw-ll-cache-miss-rd,"85,970",80.228653
0,0,300000,100%,raw-ll-cache-rd,"5,826,996",80.228653
0,0,300000,100%,raw-mem-access,"2,134,923,772",80.155484
0,0,300000,100%,raw-mem-access-rd,"2,105,255,192",80.155484
0,0,300000,100%,raw-mem-access-wr,"29,668,580",80.155484
0,0,300000,100%,raw-memory-error,0,80.155484
0,0,300000,100%,raw-op-retired,0,80.155484
0,0,300000,100%,raw-op-spec,0,80.155484
0,0,300000,100%,raw-pc-write-retired,"6,090,274,404",80.151896
0,0,300000,100%,raw-pc-write-spec,"6,703,147,208",80.151896
0,0,300000,100%,raw-rc-ld-spec,0,80.151896
0,0,300000,100%,raw-rc-st-spec,0,80.151896
0,0,300000,100%,raw-remote-access,0,80.151896
0,0,300000,100%,raw-remote-access-rd,0,80.151896
0,0,300000,100%,raw-sample-collision,0,80.113098
0,0,300000,100%,raw-sample-feed,0,80.113098
0,0,300000,100%,raw-sample-filtrate,0,80.113098
0,0,300000,100%,raw-sample-pop,0,80.113098
0,0,300000,100%,raw-st-retired,"29,275,446",80.113098
0,0,300000,100%,raw-st-spec,"31,707,067",80.113098
0,0,300000,100%,raw-stall,0,80.116316
0,0,300000,100%,raw-stall-backend,"835,353,950",80.116316
0,0,300000,100%,raw-stall-backend-mem,0,80.116316
0,0,300000,100%,raw-stall-frontend,"772,520,754",80.116316
0,0,300000,100%,raw-stall-slot,0,80.116316
0,0,300000,100%,raw-stall-slot-backend,0,80.116316
0,0,300000,100%,raw-stall-slot-frontend,0,80.102628
0,0,300000,100%,raw-strex-fail-spec,0,80.102628
0,0,300000,100%,raw-strex-pass-spec,0,80.102628
0,0,300000,100%,raw-strex-spec,0,80.102628
0,0,300000,100%,raw-sve-inst-retired,0,80.102628
0,0,300000,100%,raw-sve-inst-spec,0,80.102628
0,0,300000,100%,raw-sw-incr,0,80.147747
0,0,300000,100%,raw-ttbr-write-retired,0,80.147747
0,0,300000,100%,raw-unaligned-ld-spec,0,80.147747
0,0,300000,100%,raw-unaligned-ldst-retired,"2,955",80.147747
0,0,300000,100%,raw-unaligned-ldst-spec,0,80.147747
0,0,300000,100%,raw-unaligned-st-spec,0,80.147747
0,0,300000,100%,raw-vfp-spec,723,80.086963
0,0,1248000,100%,raw-ase-spec,575,18.934772
0,0,1248000,100%,raw-br-immed-retired,"5,398,607,713",18.934772
0,0,1248000,100%,raw-br-immed-spec,"5,398,607,713",18.934772
0,0,1248000,100%,raw-br-indirect-spec,"592,463,760",18.934772
0,0,1248000,100%,raw-br-mis-pred,"126,718,339",18.934772
0,0,1248000,100%,raw-br-mis-pred-retired,"126,727,291",18.934772
0,0,1248000,100%,raw-br-pred,"6,582,254,408",18.925360
0,0,1248000,100%,raw-br-retired,"6,583,822,070",18.925360
0,0,1248000,100%,raw-br-return-retired,"592,889,581",18.925360
0,0,1248000,100%,raw-br-return-spec,"592,889,581",18.925360
0,0,1248000,100%,raw-bus-access,"11,689,444",18.925360
0,0,1248000,100%,raw-bus-access-normal,0,18.925360
0,0,1248000,100%,raw-bus-access-not-shared,0,18.928950
0,0,1248000,100%,raw-bus-access-periph,0,18.928950
0,0,1248000,100%,raw-bus-access-rd,"4,980,083",18.928950
0,0,1248000,100%,raw-bus-access-shared,0,18.928950
0,0,1248000,100%,raw-bus-access-wr,"6,744,342",18.928950
0,0,1248000,100%,raw-bus-cycles,"23,606,931,258",18.928950
0,0,1248000,100%,raw-cid-write-retired,0,18.928318
0,0,1248000,100%,raw-cnt-cycles,0,18.928318
0,0,1248000,100%,raw-cpu-cycles,"23,606,145,302",18.928318
0,0,1248000,100%,raw-crypto-spec,0,18.928318
0,0,1248000,100%,raw-dmb-spec,0,18.928318
0,0,1248000,100%,raw-dp-spec,"29,943,033,299",18.940456
0,0,1248000,100%,raw-dsb-spec,0,18.940456
0,0,1248000,100%,raw-dtlb-walk,134,18.940456
0,0,1248000,100%,raw-exc-dabort,0,18.940456
0,0,1248000,100%,raw-exc-fiq,3,18.940456
0,0,1248000,100%,raw-exc-hvc,0,18.940456
0,0,1248000,100%,raw-exc-irq,"7,596",18.929729
0,0,1248000,100%,raw-exc-pabort,0,18.929729
0,0,1248000,100%,raw-exc-return,"7,639",18.929729
0,0,1248000,100%,raw-exc-smc,0,18.929729
0,0,1248000,100%,raw-exc-svc,0,18.929729
0,0,1248000,100%,raw-exc-taken,"7,642",18.929729
